GEO_ID,GEO.id2,GEO.display-label,Population
1500000US080010094081,80010094081,"Block Group 1, Census Tract 94.08, Adams County, Colorado",4260
1500000US080010094091,80010094091,"Block Group 1, Census Tract 94.09, Adams County, Colorado",2243
1500000US080010094092,80010094092,"Block Group 2, Census Tract 94.09, Adams County, Colorado",3005
1500000US080010094101,80010094101,"Block Group 1, Census Tract 94.10, Adams County, Colorado",1926
1500000US080010094102,80010094102,"Block Group 2, Census Tract 94.10, Adams County, Colorado",1390
1500000US080010094111,80010094111,"Block Group 1, Census Tract 94.11, Adams County, Colorado",1467
1500000US080010094112,80010094112,"Block Group 2, Census Tract 94.11, Adams County, Colorado",1492
1500000US080010095011,80010095011,"Block Group 1, Census Tract 95.01, Adams County, Colorado",1240
1500000US080010095012,80010095012,"Block Group 2, Census Tract 95.01, Adams County, Colorado",1916
1500000US080010095021,80010095021,"Block Group 1, Census Tract 95.02, Adams County, Colorado",1373
1500000US080010095022,80010095022,"Block Group 2, Census Tract 95.02, Adams County, Colorado",1396
1500000US080010095023,80010095023,"Block Group 3, Census Tract 95.02, Adams County, Colorado",864
1500000US080010095531,80010095531,"Block Group 1, Census Tract 95.53, Adams County, Colorado",2026
1500000US080010095532,80010095532,"Block Group 2, Census Tract 95.53, Adams County, Colorado",933
1500000US080010096031,80010096031,"Block Group 1, Census Tract 96.03, Adams County, Colorado",1698
1500000US080010096032,80010096032,"Block Group 2, Census Tract 96.03, Adams County, Colorado",653
1500000US080010096033,80010096033,"Block Group 3, Census Tract 96.03, Adams County, Colorado",937
1500000US080010096034,80010096034,"Block Group 4, Census Tract 96.03, Adams County, Colorado",617
1500000US080010096035,80010096035,"Block Group 5, Census Tract 96.03, Adams County, Colorado",2016
1500000US080010096041,80010096041,"Block Group 1, Census Tract 96.04, Adams County, Colorado",2290
1500000US080010096042,80010096042,"Block Group 2, Census Tract 96.04, Adams County, Colorado",2279
1500000US080010096061,80010096061,"Block Group 1, Census Tract 96.06, Adams County, Colorado",1640
1500000US080010096062,80010096062,"Block Group 2, Census Tract 96.06, Adams County, Colorado",1154
1500000US080010096071,80010096071,"Block Group 1, Census Tract 96.07, Adams County, Colorado",1216
1500000US080010096072,80010096072,"Block Group 2, Census Tract 96.07, Adams County, Colorado",1618
1500000US080010096073,80010096073,"Block Group 3, Census Tract 96.07, Adams County, Colorado",2097
1500000US080010096081,80010096081,"Block Group 1, Census Tract 96.08, Adams County, Colorado",1255
1500000US080010096082,80010096082,"Block Group 2, Census Tract 96.08, Adams County, Colorado",1594
1500000US080010097511,80010097511,"Block Group 1, Census Tract 97.51, Adams County, Colorado",2400
1500000US080010097512,80010097512,"Block Group 2, Census Tract 97.51, Adams County, Colorado",1226
1500000US080010097521,80010097521,"Block Group 1, Census Tract 97.52, Adams County, Colorado",1640
1500000US080010097522,80010097522,"Block Group 2, Census Tract 97.52, Adams County, Colorado",1421
1500000US080010150001,80010150001,"Block Group 1, Census Tract 150, Adams County, Colorado",1396
1500000US080010150002,80010150002,"Block Group 2, Census Tract 150, Adams County, Colorado",1099
1500000US080010600001,80010600001,"Block Group 1, Census Tract 600, Adams County, Colorado",3563
1500000US080010600002,80010600002,"Block Group 2, Census Tract 600, Adams County, Colorado",1184
1500000US080010601001,80010601001,"Block Group 1, Census Tract 601, Adams County, Colorado",2745
1500000US080010601002,80010601002,"Block Group 2, Census Tract 601, Adams County, Colorado",3425
1500000US080010602001,80010602001,"Block Group 1, Census Tract 602, Adams County, Colorado",2717
1500000US080010602002,80010602002,"Block Group 2, Census Tract 602, Adams County, Colorado",964
1500000US080010612001,80010612001,"Block Group 1, Census Tract 612, Adams County, Colorado",1294
1500000US080019887001,80019887001,"Block Group 1, Census Tract 9887, Adams County, Colorado",0
